 t x y z vx vy vz
   0.0000000000000000000000000 1.0000000000000000000000000 0.0000000000000000000000000 0.0000000000000000000000000 0.0000000000000000000000000 0.5000000000000000000000000 0.0000000000000000000000000
   0.0270008052355326660637354 0.9996354505713210351598551 0.0134987618770902247036284 0.0000000000000000000000000 -0.0270049072218040953262481 0.4998176754359237810641106 0.0000000000000000000000000
   0.0540016104710653321274708 0.9985414698263892051693138 0.0269876710474145982178865 0.0000000000000000000000000 -0.0540344502519077835874036 0.4992699362982414059559376 0.0000000000000000000000000
   0.0810024157065979981912062 0.9967170587734665512711961 0.0404568333926654484244426 0.0000000000000000000000000 -0.0811133846411751524034104 0.4983544777721626989148707 0.0000000000000000000000000
   0.1080032209421306642549416 0.9941605470245405106314626 0.0538962715119915929725290 0.0000000000000000000000000 -0.1082667067812728031273297 0.4970674300590700119255943 0.0000000000000000000000000
   0.1350040261776633303186770 0.9908695846283363423069886 0.0672958819223442718267585 0.0000000000000000000000000 -0.1355197777410731193478289 0.4954033150821943770565428 0.0000000000000000000000000
   0.1620048314131959963824125 0.9868411305065964688204739 0.0806453908411775049358606 0.0000000000000000000000000 -0.1628984512781349213140702 0.4933549845853313280181141 0.0000000000000000000000000
   0.1890056366487286624461479 0.9820714373605910590082584 0.0939343080319530494156934 0.0000000000000000000000000 -0.1904292075457934699402117 0.4909135382817313748143722 0.0000000000000000000000000
   0.2160064418842613285098833 0.9765560328722868421912810 0.1071518781505117886872123 0.0000000000000000000000000 -0.2181392941316808521935500 0.4880682202469146267610082 0.0000000000000000000000000
   0.2430072471197939945736187 0.9702896969784858950653031 0.1202870289746334784766349 0.0000000000000000000000000 -0.2460568762138902618638949 0.4848062912203461958108415 0.0000000000000000000000000
   0.2700080523553266606373541 0.9632664349455466890301053 0.1333283158279702494401942 0.0000000000000000000000000 -0.2742111978110191775765023 0.4811128738653561405745917 0.0000000000000000000000000
   0.2970088575908593267010895 0.9554794459158709825097025 0.1462638614203237972300782 0.0000000000000000000000000 -0.3026327563377601964457169 0.4769707673082612936213971 0.0000000000000000000000000
   0.3240096628263919927648249 0.9469210865338617060747555 0.1590812902154705456338944 0.0000000000000000000000000 -0.3313534929658049981270280 0.4723602264037285011806137 0.0000000000000000000000000
   0.3510104680619246588285603 0.9375828291869899086028318 0.1717676563009598785390913 0.0000000000000000000000000 -0.3604070016395621110071736 0.4672587001127201138353721 0.0000000000000000000000000
   0.3780112732974573248922957 0.9274552143151451636500298 0.1843093635657907092127246 0.0000000000000000000000000 -0.3898287600185709286122308 0.4616405220790056789860943 0.0000000000000000000000000
   0.4050120785329899909560311 0.9165277961464469964505198 0.1966920767842570892718140 0.0000000000000000000000000 -0.4196563861269204949425467 0.4554765448818111243308374 0.0000000000000000000000000
   0.4320128837685226570197665 0.9047890811076298557298734 0.2089006219480755500637930 0.0000000000000000000000000 -0.4499299251006366037533398 0.4487337074364345263099467 0.0000000000000000000000000
   0.4590136890040553230835020 0.8922264580289666083540383 0.2209188738719243699156695 0.0000000000000000000000000 -0.4806921711562696017333600 0.4413745224940731723102103 0.0000000000000000000000000
   0.4860144942395879891472374 0.8788261191138802198793851 0.2327296287038318375330767 0.0000000000000000000000000 -0.5119890307807593765661099 0.4333564680007155056811332 0.0000000000000000000000000
   0.5130152994751206552109728 0.8645729704676537600098039 0.2443144584806553272277752 0.0000000000000000000000000 -0.5438699341908466049523573 0.4246312620040421978486341 0.0000000000000000000000000
   0.5400161047106533212747082 0.8494505307729548925001180 0.2556535442528377692277919 0.0000000000000000000000000 -0.5763883033603238861132687 0.4151439955652006099550865 0.0000000000000000000000000
   0.5670169099461859873384436 0.8334408164563469614966629 0.2667254835254536815687833 0.0000000000000000000000000 -0.6096020863986739922764994 0.4048320913556724229278557 0.0000000000000000000000000
   0.5940177151817186534021790 0.8165242114027498223100904 0.2775070667758300339293867 0.0000000000000000000000000 -0.6435743698192995374844681 0.3936240467716239849388379 0.0000000000000000000000000
   0.6210185204172513194659144 0.7986793189362396696094869 0.2879730165465095561553422 0.0000000000000000000000000 -0.6783740822899313803329890 0.3814379087488788541521693 0.0000000000000000000000000
   0.6480193256527839855296498 0.7798827933872675423407720 0.2980956809873531357693049 0.0000000000000000000000000 -0.7140768058292024820999802 0.3681794119882700536083261 0.0000000000000000000000000
   0.6750201308883166515933852 0.7601091480998520106057803 0.3078446716105034671363551 0.0000000000000000000000000 -0.7507657130886366540522786 0.3537396915561265683544070 0.0000000000000000000000000
   0.7020209361238493176571206 0.7393305361901892198900584 0.3171864322581413621486550 0.0000000000000000000000000 -0.7885326522625710642681892 0.3379924527363733266928421 0.0000000000000000000000000
   0.7290217413593819837208560 0.7175164997465660585577663 0.3260837226292146782558699 0.0000000000000000000000000 -0.8274794041021476547412162 0.3207904425789633181604013 0.0000000000000000000000000
   0.7560225465949146497845915 0.6946336824637195650327827 0.3344949948327678882219353 0.0000000000000000000000000 -0.8677191380461133291038094 0.3019610144142100621765394 0.0000000000000000000000000
   0.7830233518304473158483269 0.6706454999538336845627072 0.3423736348516924537745297 0.0000000000000000000000000 -0.9093780957663095848390881 0.2813005021446176527785909 0.0000000000000000000000000
   0.8100241570659799819120623 0.6455117612248344133702038 0.3496670318131410280432551 0.0000000000000000000000000 -0.9525975288143940098635443 0.2585670155262775409254852 0.0000000000000000000000000
   0.8370249623015126479757977 0.6191882341803489333632019 0.3563154255405953059276532 0.0000000000000000000000000 -0.9975359094369281378506840 0.2334711158205705463635139 0.0000000000000000000000000
