 t x y vx vy
 0.000200000 0.999999980 0.000100000 -0.000200000 0.499999990
0.00290000000000 0.99999579499632 0.00144999796758 -0.00290000508106 0.49999789749153
0.00560000000000 0.99998431994878 0.00279998536520 -0.00560003658705 0.49999215988219
0.00830000000000 0.99996555475282 0.00414995235014 -0.00830011912502 0.49998277693147
0.01100000000000 0.99993949923743 0.00549988907947 -0.01100027730282 0.49996974824602
0.01370000000000 0.99990615316516 0.00684978570902 -0.01370053573198 0.49995307327963
0.01640000000000 0.99986551623209 0.00819963239291 -0.01640091902886 0.49993275133315
0.01910000000000 0.99981758806786 0.00954941928317 -0.01910145181590 0.49990878155443
0.02180000000000 0.99976236823558 0.01089913652935 -0.02180215872279 0.49988116293819
0.02450000000000 0.99969985623187 0.01224877427805 -0.02450306438765 0.49984989432597
0.02720000000000 0.99963005148682 0.01359832267254 -0.02720419345827 0.49981497440595
0.02990000000000 0.99955295336394 0.01494777185235 -0.02990557059325 0.49977640171282
0.03260000000000 0.99946856116016 0.01629711195284 -0.03260722046324 0.49973417462763
0.03530000000000 0.99937687410576 0.01764633310480 -0.03530916775214 0.49968829137759
0.03800000000000 0.99927789136439 0.01899542543400 -0.03801143715827 0.49963875003590
0.04070000000000 0.99917161203296 0.02034437906084 -0.04071405339562 0.49958554852151
0.04340000000000 0.99905803514165 0.02169318409986 -0.04341704119501 0.49952868459891
0.04610000000000 0.99893715965383 0.02304183065936 -0.04612042530532 0.49946815587787
0.04880000000000 0.99880898446603 0.02439030884099 -0.04882423049470 0.49940395981317
0.05150000000000 0.99867350840788 0.02573860873931 -0.05152848155178 0.49933609370434
0.05420000000000 0.99853073024204 0.02708672044139 -0.05423320328688 0.49926455469536
0.05690000000000 0.99838064866417 0.02843463402635 -0.05693842053322 0.49918933977429
0.05960000000000 0.99822326230283 0.02978233956500 -0.05964415814816 0.49911044577301
0.06230000000000 0.99805856971944 0.03112982711937 -0.06235044101438 0.49902786936683
0.06500000000000 0.99788656940821 0.03247708674229 -0.06505729404117 0.49894160707411
0.06770000000000 0.99770725979603 0.03382410847700 -0.06776474216558 0.49885165525589
0.07040000000000 0.99752063924246 0.03517088235669 -0.07047281035372 0.49875801011549
0.07310000000000 0.99732670603957 0.03651739840408 -0.07318152360195 0.49866066769806
0.07580000000000 0.99712545841193 0.03786364663101 -0.07589090693813 0.49855962389018
0.07850000000000 0.99691689451647 0.03920961703799 -0.07860098542287 0.49845487441936
0.08120000000000 0.99670101244242 0.04055529961379 -0.08131178415074 0.49834641485359
0.08390000000000 0.99647781021122 0.04190068433499 -0.08402332825157 0.49823424060081
0.08660000000000 0.99624728577638 0.04324576116555 -0.08673564289168 0.49811834690844
0.08930000000000 0.99600943702344 0.04459052005638 -0.08944875327511 0.49799872886283
0.09200000000000 0.99576426176981 0.04593495094493 -0.09216268464492 0.49787538138869
0.09470000000000 0.99551175776471 0.04727904375469 -0.09487746228443 0.49774829924854
0.09740000000000 0.99525192268904 0.04862278839481 -0.09759311151851 0.49761747704211
0.10010000000000 0.99498475415525 0.04996617475965 -0.10030965771484 0.49748290920575
0.10280000000000 0.99471024970724 0.05130919272831 -0.10302712628519 0.49734459001179
0.10550000000000 0.99442840682026 0.05265183216420 -0.10574554268671 0.49720251356788
0.10820000000000 0.99413922290073 0.05399408291460 -0.10846493242322 0.49705667381634
0.11090000000000 0.99384269528618 0.05533593481023 -0.11118532104651 0.49690706453348
0.11360000000000 0.99353882124505 0.05667737766476 -0.11390673415761 0.49675367932890
0.11630000000000 0.99322759797660 0.05801840127438 -0.11662919740815 0.49659651164472
0.11900000000000 0.99290902261078 0.05935899541736 -0.11935273650163 0.49643555475490
0.12170000000000 0.99258309220806 0.06069914985357 -0.12207737719475 0.49627080176443
0.12440000000000 0.99224980375926 0.06203885432404 -0.12480314529874 0.49610224560855
0.12710000000000 0.99190915418549 0.06337809855050 -0.12753006668068 0.49592987905196
0.12980000000000 0.99156114033791 0.06471687223490 -0.13025816726485 0.49575369468798
0.13250000000000 0.99120575899760 0.06605516505897 -0.13298747303408 0.49557368493773
0.13520000000000 0.99084300687542 0.06739296668375 -0.13571801003105 0.49538984204920
0.13790000000000 0.99047288061183 0.06873026674909 -0.13844980435973 0.49520215809644
0.14060000000000 0.99009537677673 0.07006705487322 -0.14118288218668 0.49501062497857
0.14330000000000 0.98971049186927 0.07140332065228 -0.14391726974244 0.49481523441892
0.14600000000000 0.98931822231770 0.07273905365979 -0.14665299332292 0.49461597796402
0.14870000000000 0.98891856447918 0.07407424344622 -0.14939007929077 0.49441284698265
0.15140000000000 0.98851151463960 0.07540887953849 -0.15212855407681 0.49420583266483
0.15410000000000 0.98809706901338 0.07674295143952 -0.15486844418137 0.49399492602082
0.15680000000000 0.98767522374332 0.07807644862766 -0.15760977617576 0.49378011788004
0.15950000000000 0.98724597490035 0.07940936055631 -0.16035257670369 0.49356139889004
0.16220000000000 0.98680931848339 0.08074167665333 -0.16309687248263 0.49333875951538
0.16490000000000 0.98636525041911 0.08207338632061 -0.16584269030532 0.49311219003653
0.16760000000000 0.98591376656173 0.08340447893353 -0.16859005704120 0.49288168054874
0.17030000000000 0.98545486269282 0.08473494384048 -0.17133899963784 0.49264722096086
0.17300000000000 0.98498853452108 0.08606477036238 -0.17408954512240 0.49240880099416
0.17570000000000 0.98451477768216 0.08739394779210 -0.17684172060316 0.49216641018114
0.17840000000000 0.98403358773836 0.08872246539401 -0.17959555327094 0.49192003786428
0.18110000000000 0.98354496017848 0.09005031240345 -0.18235107040062 0.49166967319474
