 t x y vx vy
 0.010000000 0.999949999 0.004999917 -0.010000208 0.499974999
 0.020000000 0.999849997 0.009999667 -0.020000833 0.499924994
 0.030000000 0.999649989 0.014998917 -0.030002333 0.499824967
 0.040000000 0.999349966 0.019997166 -0.040005959 0.499674871
 0.050000000 0.998949906 0.024993915 -0.050012962 0.499474629
 0.060000000 0.998449777 0.029988661 -0.060024594 0.499224136
 0.070000000 0.997849531 0.034980903 -0.070042112 0.498923258
 0.080000000 0.997149109 0.039970135 -0.080066775 0.498571831
 0.090000000 0.996348442 0.044955854 -0.090099847 0.498169661
 0.100000000 0.995447443 0.049937550 -0.100142596 0.497716526
 0.110000000 0.994446017 0.054914715 -0.110196297 0.497212173
 0.120000000 0.993344054 0.059886837 -0.120262231 0.496656317
 0.130000000 0.992141432 0.064853400 -0.130341688 0.496048646
 0.140000000 0.990838015 0.069813887 -0.140435966 0.495388812
 0.150000000 0.989433655 0.074767775 -0.150546371 0.494676439
 0.160000000 0.987928192 0.079714539 -0.160674223 0.493911115
 0.170000000 0.986321450 0.084653650 -0.170820849 0.493092398
 0.180000000 0.984613241 0.089584574 -0.180987593 0.492219811
 0.190000000 0.982803365 0.094506773 -0.191175808 0.491292841
 0.200000000 0.980891607 0.099419701 -0.201386863 0.490310941
 0.210000000 0.978877738 0.104322810 -0.211622144 0.489273530
 0.220000000 0.976761517 0.109215546 -0.221883051 0.488179985
 0.230000000 0.974542686 0.114097345 -0.232171001 0.487029649
 0.240000000 0.972220976 0.118967642 -0.242487431 0.485821823
 0.250000000 0.969796102 0.123825860 -0.252833798 0.484555771
 0.260000000 0.967267764 0.128671418 -0.263211578 0.483230711
 0.270000000 0.964635648 0.133503725 -0.273622270 0.481845822
 0.280000000 0.961899426 0.138322183 -0.284067395 0.480400237
 0.290000000 0.959058752 0.143126186 -0.294548500 0.478893043
 0.300000000 0.956113267 0.147915116 -0.305067155 0.477323280
 0.310000000 0.953062595 0.152688349 -0.315624961 0.475689938
 0.320000000 0.949906346 0.157445248 -0.326223544 0.473991960
 0.330000000 0.946644110 0.162185168 -0.336864561 0.472228230
 0.340000000 0.943275464 0.166907450 -0.347549701 0.470397584
 0.350000000 0.939799967 0.171611426 -0.358280683 0.468498795
 0.360000000 0.936217161 0.176296414 -0.369059264 0.466530581
 0.370000000 0.932526568 0.180961720 -0.379887234 0.464491596
 0.380000000 0.928727696 0.185606636 -0.390766424 0.462380432
 0.390000000 0.924820031 0.190230440 -0.401698702 0.460195611
 0.400000000 0.920803044 0.194832396 -0.412685978 0.457935588
 0.410000000 0.916676185 0.199411752 -0.423730206 0.455598744
 0.420000000 0.912438883 0.203967739 -0.434833384 0.453183383
 0.430000000 0.908090549 0.208499573 -0.445997560 0.450687729
