 t x y vx vy
 0.000100000 0.999999995 0.000050000 -0.000100000 0.499999997
 0.002800000 0.999996215 0.001399998 -0.002800004 0.499998107
 0.005500000 0.999985145 0.002749987 -0.005500032 0.499992572
 0.008200000 0.999966785 0.004099956 -0.008200110 0.499983392
 0.010900000 0.999941134 0.005449895 -0.010900260 0.499970566
 0.013600000 0.999908193 0.006799795 -0.013600509 0.499954094
 0.016300000 0.999867961 0.008149646 -0.016300881 0.499933974
 0.019000000 0.999820438 0.009499437 -0.019001400 0.499910207
 0.021700000 0.999765624 0.010849160 -0.021702091 0.499882791
 0.024400000 0.999703517 0.012198804 -0.024402979 0.499851726
 0.027100000 0.999634118 0.013548359 -0.027104088 0.499817009
 0.029800000 0.999557425 0.014897816 -0.029805443 0.499778639
 0.032500000 0.999473438 0.016247165 -0.032507069 0.499736615
 0.035200000 0.999382157 0.017596395 -0.035208990 0.499690935
 0.037900000 0.999283580 0.018945497 -0.037911231 0.499641597
 0.040600000 0.999177706 0.020294461 -0.040613817 0.499588599
 0.043300000 0.999064535 0.021643278 -0.043316772 0.499531939
 0.046000000 0.998944065 0.022991937 -0.046020121 0.499471615
 0.048700000 0.998816296 0.024340428 -0.048723889 0.499407623
 0.051400000 0.998681226 0.025688741 -0.051428102 0.499339961
 0.054100000 0.998538854 0.027036867 -0.054132782 0.499268626
 0.056800000 0.998389179 0.028384796 -0.056837956 0.499193616
 0.059500000 0.998232200 0.029732517 -0.059543649 0.499114927
 0.062200000 0.998067914 0.031080021 -0.062249884 0.499032556
 0.064900000 0.997896320 0.032427298 -0.064956687 0.498946499
 0.067600000 0.997717418 0.033774337 -0.067664084 0.498856753
 0.070300000 0.997531205 0.035121130 -0.070372098 0.498763314
 0.073000000 0.997337679 0.036467666 -0.073080755 0.498666177
 0.075700000 0.997136839 0.037813934 -0.075790081 0.498565340
 0.078400000 0.996928683 0.039159925 -0.078500099 0.498460797
 0.081100000 0.996713209 0.040505630 -0.081210835 0.498352545
 0.083800000 0.996490415 0.041851037 -0.083922315 0.498240578
 0.086500000 0.996260299 0.043196137 -0.086634563 0.498124892
 0.089200000 0.996022858 0.044540920 -0.089347604 0.498005482
 0.091900000 0.995778092 0.045885375 -0.092061464 0.497882343
 0.094600000 0.995525997 0.047229493 -0.094776169 0.497755470
 0.097300000 0.995266572 0.048573264 -0.097491743 0.497624857
 0.100000000 0.994999813 0.049916677 -0.100208211 0.497490499
 0.102700000 0.994725718 0.051259723 -0.102925600 0.497352389
 0.105400000 0.994444285 0.052602391 -0.105643935 0.497210523
 0.108100000 0.994155512 0.053944671 -0.108363240 0.497064894
 0.110800000 0.993859395 0.055286553 -0.111083542 0.496915496
 0.113500000 0.993555932 0.056628026 -0.113804867 0.496762323
 0.116200000 0.993245120 0.057969081 -0.116527239 0.496605367
 0.118900000 0.992926956 0.059309708 -0.119250686 0.496444623
 0.121600000 0.992601438 0.060649895 -0.121975231 0.496280083
 0.124300000 0.992268561 0.061989633 -0.124700902 0.496111741
 0.127000000 0.991928324 0.063328912 -0.127427723 0.495939588
 0.129700000 0.991580723 0.064667721 -0.130155722 0.495763618
 0.132400000 0.991225755 0.066006050 -0.132884924 0.495583824
 0.135100000 0.990863417 0.067343889 -0.135615354 0.495400197
 0.137800000 0.990493704 0.068681226 -0.138347040 0.495212729
