 t x y vx vy
 0.100000000 0.994994774 0.049916431 -0.100209047 0.497487959
 0.200000000 0.984973869 0.099665227 -0.200837530 0.492439676
 0.300000000 0.964890116 0.148909195 -0.302348899 0.482168182
 0.400000000 0.934655226 0.197126013 -0.406032667 0.466166913
 0.500000000 0.894051959 0.243742704 -0.513269910 0.443549749
 0.600000000 0.842724968 0.288097679 -0.625619286 0.412920276
 0.700000000 0.780163040 0.329389707 -0.744914657 0.372137433
 0.800000000 0.705671574 0.366603450 -0.873374859 0.317900734
 0.900000000 0.618334088 0.398393523 -1.013703158 0.244998777
 1.000000000 0.516963772 0.422893401 -1.169071216 0.144894919
 1.100000000 0.400056651 0.437382893 -1.342581746 0.002957588
 1.200000000 0.265798476 0.437678652 -1.534675477 -0.207058948
 1.300000000 0.112330928 0.416972757 -1.732634386 -0.533029171
 1.400000000 -0.060932510 0.363669840 -1.872121850 -1.050807070
 1.500000000 -0.248144695 0.258589133 -1.750589611 -1.776160576
 1.600000000 -0.423203656 0.080973075 -1.211533956 -2.337905143
 1.700000000 -0.544357052 -0.152817439 -0.682505537 -2.439126050
 1.800000000 -0.612607606 -0.396730044 -0.381333117 -2.354577870
 1.900000000 -0.650740917 -0.632187831 -0.223761002 -2.252532790
 2.000000000 -0.673117017 -0.857441110 -0.136622664 -2.167878828
 2.100000000 -0.686779284 -1.074228993 -0.084658262 -2.101684670
 2.200000000 -0.695245110 -1.284397460 -0.051523554 -2.049856864
 2.300000000 -0.700397465 -1.489383146 -0.029206409 -2.008628116
 2.400000000 -0.703318106 -1.690245958 -0.013496465 -1.975221190
 2.500000000 -0.704667753 -1.887768077 -0.002034055 -1.947674209
 2.600000000 -0.704871158 -2.082535498 0.006579040 -1.924600177
 2.700000000 -0.704213254 -2.274995515 0.013211537 -1.905004524
 2.800000000 -0.702892101 -2.465495968 0.018425343 -1.888161066
