 t x1 x2 x3 y1 y2 y3 vx1 vx2 vx3 vy1 vy2 vy3
 0.000030000 -0.078797473 0.594019288 -0.515221815 0.557071970 0.383292122 -0.940364092 0.160039630 -0.555795594 0.395755965 1.159314506 -0.902946091 -0.256368415
0.02516000000000 -0.07418016846184 0.57935261379102 -0.50517244532919 0.58590163767039 0.36069980786665 -0.94660144553704 0.20735814956126 -0.61138501860293 0.40402686904167 1.13450745246639 -0.89444684392701 -0.24006060853937
0.05029000000000 -0.06838203587508 0.56329782718050 -0.49491579130543 0.61406098490313 0.33836937008989 -0.95243035499303 0.25391743882867 -0.66617614905146 0.41225871022278 1.10597742257696 -0.88212424870749 -0.22385317386944
0.07542000000000 -0.06142961683544 0.54588203371437 -0.48445241687894 0.64145773850197 0.31639494362899 -0.95785268213097 0.29912727841074 -0.71961139554514 0.42048411713439 1.07384392765395 -0.86615066785803 -0.20769325979589
0.10054999999999 -0.05336391030424 0.52714602214480 -0.47378211184058 0.66800390539226 0.29486503239063 -0.96286893778289 0.34243114229875 -0.77116322910977 0.42873208681102 1.03832700910482 -0.84680083693374 -0.19152617217106
0.12567999999998 -0.04423924354530 0.50714322611410 -0.46290398256882 0.69361819247989 0.27386004246938 -0.96747823494927 0.38332824666701 -0.82035625917833 0.43702801251131 0.99973776645544 -0.82444241591597 -0.17529535053944
0.15081000000001 -0.03412162893892 0.48593817177174 -0.45181654283284 0.71822811541894 0.25345012588904 -0.97167824130797 0.42139211097560 -0.86678576584473 0.44539365486912 0.95846323418069 -0.79952091738805 -0.15894231679263
0.17594000000004 -0.02308671524337 0.46360452130771 -0.44051780606435 0.74177167123762 0.23369345888853 -0.97546513012613 0.45628406198965 -0.91013111538553 0.45384705339587 0.91494708380537 -0.77254048361727 -0.14240660018809
0.20107000000006 -0.01121747331891 0.44022285395197 -0.42900538063308 0.76419849315560 0.21463503588674 -0.97883352904233 0.48776077393737 -0.95016314933848 0.46240237540111 0.86966804596404 -0.74404240223740 -0.12562564372662
0.22620000000009 0.00139823028726 0.41587833945327 -0.41727656974054 0.78547045557584 0.19630601074597 -0.98177646632178 0.51567568864764 -0.98674538755135 0.47106969890372 0.82311805622635 -0.71458335849565 -0.10853469773069
0.25133000000011 0.01467002354635 0.39065845409346 -0.40532847763983 0.80556174576867 0.17872356858015 -0.98428531434880 0.53997485332113 -1.01982957886334 0.47985472554221 0.77578193820098 -0.68471523052495 -0.09106670767602
0.27646000000014 0.02850725511812 0.36465086887850 -0.39315812399665 0.82445845947671 0.16189127083963 -0.98634973031632 0.56068823623956 -1.04944665516811 0.48875841892855 0.72812002131039 -0.65496781643864 -0.07315220487173
0.30159000000016 0.04282095947753 0.33794160885016 -0.38076256832771 0.84215780620993 0.14579978810147 -0.98795759431137 0.57791787256756 -1.07569443596796 0.49777656340041 0.68055455742165 -0.62583534698074 -0.05471921044090
0.32672000000019 0.05752549917513 0.31061354740883 -0.36813904658398 0.85866702484561 0.13042792043889 -0.98909494528446 0.59182425224909 -1.09872349004266 0.50689923779358 0.63346026072213 -0.59776709549038 -0.03569316523173
0.35185000000021 0.07253985660798 0.28274526547504 -0.35528512208304 0.87400211228243 0.11574380345682 -0.98974591573922 0.60261223372456 -1.11872243249859 0.51611019877404 0.58715883486486 -0.57116193404462 -0.01599690082022
0.37698000000024 0.08778857698431 0.25441027614518 -0.34219885312951 0.88818646001405 0.10170620638182 -0.98989266639584 0.61051751794819 -1.13590368650026 0.52538616855209 0.54191701927795 -0.54636634957207 0.00444933029413
0.40211000000026 0.10320238642197 0.22567659336174 -0.32887897978372 0.90124947902771 0.08826584355089 -0.98951532257858 0.61579441618621 -1.15049043878398 0.53469602259779 0.49794749473384 -0.52367523850900 0.02572774377516
0.42724000000029 0.11871852377401 0.19660660855784 -0.31532513233187 0.91322527577773 0.07536663888938 -0.98859191466709 0.61870534881790 -1.16270522329824 0.54399987448037 0.45541192147212 -0.50333472779083 0.04792280631873
0.45237000000031 0.13428083245229 0.16725723160205 -0.30153806405435 0.92415142390861 0.06294690174016 -0.98709832564874 0.61951225797579 -1.17276031539638 0.55324805742061 0.41442541095634 -0.48554629317482 0.07112088221849
0.47750000000034 0.14983966053659 0.13768025031881 -0.28751991085541 0.93406785985291 0.05094038977607 -0.98500824962897 0.61846992222779 -1.18084992813072 0.56238000590295 0.37506182031490 -0.47047152865937 0.09540970834448
0.50263000000035 0.16535161537341 0.10792286479496 -0.27327448016838 0.94301591651622 0.03927724959842 -0.98229316611463 0.61582102935169 -1.18714407551247 0.57132304616079 0.33735937584903 -0.45823703235357 0.12087765650455
0.52776000000023 0.18077921418320 0.07802835705472 -0.25880757123793 0.95103749841228 0.02788483758057 -0.97892233599284 0.61179278662713 -1.19178389866000 0.57999111203289 0.30132625522848 -0.44893899128792 0.14761273605945
0.55289000000012 0.19609046616221 0.04803686217890 -0.24412732834112 0.95817439376464 0.01668843262406 -0.97486282638869 0.60659481533091 -1.19487822852157 0.58828341319068 0.26694587183107 -0.44264715541350 0.17570128358244
0.57802000000000 0.21125841512748 0.01798621253474 -0.22924462766222 0.96446771389536 0.00561185909790 -0.97007957299325 0.60041807464205 -1.19650117136242 0.59608309672038 0.23418170094139 -0.43940798186341 0.20522628092203
0.60314999999989 0.22626066555113 -0.01208716826264 -0.21417349728850 0.96995744718914 -0.00542195720982 -0.96453548997931 0.59343457856446 -1.19669053975560 0.60325596119114 0.20298156335773 -0.43924680257630 0.23626523921858
