 t x y vx vy
 0.002000000 0.999998000 0.000999999 -0.002000002 0.499999000
 0.004000000 0.999992000 0.001999995 -0.004000012 0.499996000
 0.006000000 0.999982000 0.002999983 -0.006000043 0.499991000
 0.008000000 0.999968000 0.003999959 -0.008000104 0.499984000
 0.010000000 0.999950000 0.004999918 -0.010000204 0.499974999
 0.012000000 0.999927999 0.005999858 -0.012000355 0.499963998
 0.014000000 0.999901998 0.006999774 -0.014000565 0.499950996
 0.016000000 0.999871997 0.007999662 -0.016000846 0.499935992
 0.018000000 0.999837995 0.008999517 -0.018001207 0.499918988
 0.020000000 0.999799992 0.009999337 -0.020001658 0.499899981
 0.022000000 0.999757988 0.010999117 -0.022002208 0.499878972
 0.024000000 0.999711983 0.011998852 -0.024002869 0.499855961
 0.026000000 0.999661977 0.012998540 -0.026003650 0.499830946
 0.028000000 0.999607968 0.013998176 -0.028004561 0.499803927
 0.030000000 0.999549958 0.014997755 -0.030005612 0.499774903
 0.032000000 0.999487946 0.015997275 -0.032006813 0.499743875
 0.034000000 0.999421931 0.016996730 -0.034008175 0.499710840
 0.036000000 0.999351913 0.017996118 -0.036009706 0.499675799
 0.038000000 0.999277892 0.018995433 -0.038011418 0.499638751
 0.040000000 0.999199868 0.019994672 -0.040013321 0.499599694
 0.042000000 0.999117839 0.020993831 -0.042015423 0.499558628
 0.044000000 0.999031806 0.021992906 -0.044017736 0.499515552
 0.046000000 0.998941768 0.022991893 -0.046020270 0.499470464
 0.048000000 0.998847725 0.023990788 -0.048023034 0.499423365
 0.050000000 0.998749676 0.024989586 -0.050026038 0.499374252
 0.052000000 0.998647621 0.025988284 -0.052029293 0.499323124
 0.054000000 0.998541559 0.026986878 -0.054032810 0.499269981
 0.056000000 0.998431489 0.027985363 -0.056036597 0.499214822
 0.058000000 0.998317412 0.028983737 -0.058040664 0.499157644
 0.060000000 0.998199327 0.029981994 -0.060045023 0.499098447
 0.062000000 0.998077232 0.030980130 -0.062049684 0.499037229
 0.064000000 0.997951128 0.031978142 -0.064054655 0.498973988
 0.066000000 0.997821013 0.032976025 -0.066059948 0.498908724
 0.068000000 0.997686888 0.033973776 -0.068065573 0.498841435
 0.070000000 0.997548751 0.034971391 -0.070071539 0.498772119
 0.072000000 0.997406602 0.035968864 -0.072077857 0.498700775
 0.074000000 0.997260439 0.036966193 -0.074084538 0.498627401
 0.076000000 0.997110263 0.037963373 -0.076091590 0.498551995
 0.078000000 0.996956073 0.038960401 -0.078099025 0.498474555
 0.080000000 0.996797867 0.039957271 -0.080106853 0.498395081
 0.082000000 0.996635645 0.040953981 -0.082115084 0.498313569
 0.084000000 0.996469407 0.041950525 -0.084123727 0.498230018
 0.086000000 0.996299150 0.042946900 -0.086132794 0.498144427
 0.088000000 0.996124876 0.043943102 -0.088142294 0.498056792
 0.090000000 0.995946581 0.044939127 -0.090152239 0.497967112
 0.092000000 0.995764267 0.045934970 -0.092162637 0.497875386
 0.094000000 0.995577931 0.046930628 -0.094173500 0.497781610
 0.096000000 0.995387572 0.047926096 -0.096184837 0.497685783
 0.098000000 0.995193191 0.048921370 -0.098196659 0.497587902
 0.100000000 0.994994786 0.049916447 -0.100208976 0.497487965
 0.102000000 0.994792355 0.050911322 -0.102221800 0.497385970
 0.104000000 0.994585898 0.051905990 -0.104235138 0.497281915
 0.106000000 0.994375414 0.052900449 -0.106249004 0.497175796
 0.108000000 0.994160902 0.053894693 -0.108263406 0.497067612
 0.110000000 0.993942361 0.054888719 -0.110278355 0.496957360
 0.112000000 0.993719789 0.055882522 -0.112293861 0.496845037
 0.114000000 0.993493185 0.056876098 -0.114309935 0.496730641
 0.116000000 0.993262549 0.057869444 -0.116326588 0.496614169
 0.118000000 0.993027879 0.058862555 -0.118343829 0.496495618
 0.120000000 0.992789173 0.059855426 -0.120361670 0.496374986
 0.122000000 0.992546432 0.060848054 -0.122380120 0.496252269
 0.124000000 0.992299653 0.061840435 -0.124399190 0.496127465
 0.126000000 0.992048835 0.062832563 -0.126418891 0.496000571
 0.128000000 0.991793977 0.063824436 -0.128439233 0.495871584
 0.130000000 0.991535078 0.064816049 -0.130460227 0.495740501
 0.132000000 0.991272136 0.065807398 -0.132481884 0.495607318
 0.134000000 0.991005150 0.066798478 -0.134504213 0.495472033
 0.136000000 0.990734119 0.067789285 -0.136527226 0.495334643
 0.138000000 0.990459041 0.068779816 -0.138550933 0.495195143
 0.140000000 0.990179915 0.069770065 -0.140575344 0.495053531
 0.142000000 0.989896740 0.070760030 -0.142600472 0.494909804
 0.144000000 0.989609513 0.071749704 -0.144626325 0.494763958
 0.146000000 0.989318234 0.072739085 -0.146652915 0.494615989
 0.148000000 0.989022901 0.073728168 -0.148680253 0.494465895
 0.150000000 0.988723513 0.074716948 -0.150708348 0.494313671
 0.152000000 0.988420068 0.075705422 -0.152737213 0.494159313
 0.154000000 0.988112564 0.076693585 -0.154766858 0.494002819
 0.156000000 0.987801000 0.077681432 -0.156797293 0.493844185
 0.158000000 0.987485375 0.078668961 -0.158828530 0.493683406
 0.160000000 0.987165686 0.079656166 -0.160860579 0.493520479
 0.162000000 0.986841932 0.080643042 -0.162893451 0.493355400
 0.164000000 0.986514112 0.081629587 -0.164927158 0.493188165
 0.166000000 0.986182223 0.082615794 -0.166961709 0.493018770
 0.168000000 0.985846265 0.083601661 -0.168997116 0.492847210
 0.170000000 0.985506235 0.084587183 -0.171033390 0.492673483
 0.172000000 0.985162131 0.085572355 -0.173070542 0.492497583
 0.174000000 0.984813952 0.086557172 -0.175108583 0.492319506
 0.176000000 0.984461696 0.087541632 -0.177147523 0.492139249
 0.178000000 0.984105362 0.088525729 -0.179187375 0.491956806
 0.180000000 0.983744947 0.089509459 -0.181228148 0.491772174
 0.182000000 0.983380449 0.090492817 -0.183269855 0.491585347
 0.184000000 0.983011867 0.091475800 -0.185312506 0.491396322
 0.186000000 0.982639199 0.092458402 -0.187356112 0.491205093
 0.188000000 0.982262442 0.093440619 -0.189400685 0.491011657
 0.190000000 0.981881596 0.094422448 -0.191446236 0.490816007
 0.192000000 0.981496657 0.095403883 -0.193492776 0.490618141
 0.194000000 0.981107625 0.096384920 -0.195540316 0.490418052
 0.196000000 0.980714496 0.097365554 -0.197588868 0.490215737
 0.198000000 0.980317269 0.098345782 -0.199638443 0.490011189
 0.200000000 0.979915942 0.099325599 -0.201689053 0.489804404
 0.202000000 0.979510512 0.100304999 -0.203740708 0.489595377
 0.204000000 0.979100979 0.101283980 -0.205793420 0.489384103
 0.206000000 0.978687338 0.102262535 -0.207847201 0.489170577
 0.208000000 0.978269590 0.103240661 -0.209902062 0.488954793
 0.210000000 0.977847730 0.104218354 -0.211958014 0.488736746
 0.212000000 0.977421757 0.105195608 -0.214015070 0.488516431
 0.214000000 0.976991669 0.106172419 -0.216073240 0.488293842
 0.216000000 0.976557464 0.107148783 -0.218132537 0.488068974
 0.218000000 0.976119139 0.108124694 -0.220192971 0.487841821
 0.220000000 0.975676692 0.109100149 -0.222254555 0.487612377
 0.222000000 0.975230121 0.110075143 -0.224317301 0.487380638
 0.224000000 0.974779422 0.111049671 -0.226381219 0.487146596
 0.226000000 0.974324595 0.112023729 -0.228446322 0.486910247
 0.228000000 0.973865637 0.112997312 -0.230512622 0.486671584
 0.230000000 0.973402545 0.113970415 -0.232580130 0.486430602
 0.232000000 0.972935316 0.114943034 -0.234648859 0.486187294
 0.234000000 0.972463949 0.115915163 -0.236718819 0.485941655
 0.236000000 0.971988441 0.116886800 -0.238790024 0.485693678
 0.238000000 0.971508788 0.117857937 -0.240862485 0.485443356
 0.240000000 0.971024990 0.118828572 -0.242936214 0.485190685
 0.242000000 0.970537043 0.119798700 -0.245011223 0.484935657
 0.244000000 0.970044945 0.120768314 -0.247087524 0.484678265
 0.246000000 0.969548693 0.121737412 -0.249165130 0.484418504
 0.248000000 0.969048284 0.122705988 -0.251244052 0.484156367
 0.250000000 0.968543716 0.123674037 -0.253324303 0.483891847
 0.252000000 0.968034987 0.124641555 -0.255405894 0.483624938
 0.254000000 0.967522093 0.125608536 -0.257488839 0.483355632
 0.256000000 0.967005031 0.126574977 -0.259573150 0.483083924
 0.258000000 0.966483800 0.127540871 -0.261658838 0.482809805
 0.260000000 0.965958395 0.128506215 -0.263745917 0.482533269
 0.262000000 0.965428816 0.129471004 -0.265834399 0.482254309
 0.264000000 0.964895057 0.130435232 -0.267924295 0.481972917
 0.266000000 0.964357118 0.131398895 -0.270015619 0.481689087
 0.268000000 0.963814995 0.132361988 -0.272108384 0.481402812
 0.270000000 0.963268684 0.133324505 -0.274202601 0.481114083
 0.272000000 0.962718184 0.134286443 -0.276298284 0.480822893
 0.274000000 0.962163491 0.135247796 -0.278395446 0.480529236
 0.276000000 0.961604602 0.136208560 -0.280494098 0.480233103
 0.278000000 0.961041514 0.137168728 -0.282594254 0.479934486
 0.280000000 0.960474224 0.138128297 -0.284695926 0.479633378
 0.282000000 0.959902730 0.139087261 -0.286799128 0.479329771
 0.284000000 0.959327027 0.140045615 -0.288903872 0.479023658
 0.286000000 0.958747114 0.141003355 -0.291010171 0.478715029
 0.288000000 0.958162986 0.141960475 -0.293118039 0.478403877
 0.290000000 0.957574641 0.142916970 -0.295227488 0.478090195
 0.292000000 0.956982076 0.143872835 -0.297338531 0.477773973
 0.294000000 0.956385287 0.144828065 -0.299451182 0.477455203
 0.296000000 0.955784271 0.145782655 -0.301565454 0.477133877
 0.298000000 0.955179025 0.146736600 -0.303681360 0.476809987
 0.300000000 0.954569545 0.147689894 -0.305798913 0.476483524
 0.302000000 0.953955829 0.148642533 -0.307918127 0.476154479
 0.304000000 0.953337872 0.149594512 -0.310039015 0.475822843
 0.306000000 0.952715672 0.150545824 -0.312161590 0.475488608
 0.308000000 0.952089225 0.151496466 -0.314285866 0.475151765
 0.310000000 0.951458528 0.152446431 -0.316411857 0.474812305
 0.312000000 0.950823578 0.153395714 -0.318539576 0.474470218
 0.314000000 0.950184370 0.154344311 -0.320669037 0.474125496
 0.316000000 0.949540901 0.155292215 -0.322800254 0.473778129
 0.318000000 0.948893168 0.156239423 -0.324933239 0.473428108
 0.320000000 0.948241168 0.157185927 -0.327068008 0.473075424
 0.322000000 0.947584896 0.158131724 -0.329204574 0.472720066
 0.324000000 0.946924349 0.159076807 -0.331342950 0.472362026
 0.326000000 0.946259524 0.160021171 -0.333483152 0.472001293
 0.328000000 0.945590416 0.160964811 -0.335625192 0.471637859
 0.330000000 0.944917022 0.161907722 -0.337769085 0.471271712
 0.332000000 0.944239339 0.162849897 -0.339914846 0.470902843
 0.334000000 0.943557362 0.163791333 -0.342062488 0.470531242
 0.336000000 0.942871089 0.164732022 -0.344212025 0.470156898
 0.338000000 0.942180514 0.165671959 -0.346363473 0.469779802
 0.340000000 0.941485634 0.166611140 -0.348516844 0.469399942
 0.342000000 0.940786446 0.167549559 -0.350672155 0.469017310
 0.344000000 0.940082945 0.168487209 -0.352829419 0.468631893
 0.346000000 0.939375128 0.169424085 -0.354988651 0.468243681
 0.348000000 0.938662990 0.170360183 -0.357149865 0.467852663
 0.350000000 0.937946528 0.171295495 -0.359313077 0.467458829
 0.352000000 0.937225737 0.172230017 -0.361478300 0.467062168
 0.354000000 0.936500614 0.173163743 -0.363645551 0.466662668
 0.356000000 0.935771155 0.174096667 -0.365814843 0.466260318
 0.358000000 0.935037354 0.175028784 -0.367986192 0.465855107
 0.360000000 0.934299209 0.175960087 -0.370159612 0.465447024
 0.362000000 0.933556715 0.176890571 -0.372335119 0.465036056
 0.364000000 0.932809868 0.177820231 -0.374512729 0.464622193
 0.366000000 0.932058664 0.178749059 -0.376692455 0.464205422
 0.368000000 0.931303098 0.179677052 -0.378874313 0.463785732
 0.370000000 0.930543166 0.180604202 -0.381058320 0.463363111
