 t x y vx vy
 0.020000000 0.999799992 0.009999333 -0.020001667 0.499899981
 0.030000000 0.999549968 0.014997958 -0.030005105 0.499774926
 0.040000000 0.999199900 0.019995082 -0.040012296 0.499599748
 0.050000000 0.998749742 0.024990204 -0.050024494 0.499374347
 0.060000000 0.998199437 0.029982820 -0.060042958 0.499098594
 0.070000000 0.997548915 0.034972427 -0.070068948 0.498772328
 0.080000000 0.996798096 0.039958519 -0.080103733 0.498395361
 0.090000000 0.995946886 0.044940588 -0.090148585 0.497967475
 0.100000000 0.994995176 0.049918123 -0.100204784 0.497488420
 0.110000000 0.993942848 0.054890612 -0.110273618 0.496957918
 0.120000000 0.992789768 0.059857539 -0.120356383 0.496375658
 0.130000000 0.991535791 0.064818384 -0.130454383 0.495741299
 0.140000000 0.990180757 0.069772626 -0.140568934 0.495054466
 0.150000000 0.988724496 0.074719736 -0.150701364 0.494314754
 0.160000000 0.987166820 0.079659185 -0.160853012 0.493521722
 0.170000000 0.985507533 0.084590437 -0.171025229 0.492674899
 0.180000000 0.983746420 0.089512952 -0.181219384 0.491773775
 0.190000000 0.981883256 0.094426184 -0.191436856 0.490817807
 0.200000000 0.979917800 0.099329583 -0.201679045 0.489806416
 0.210000000 0.977849799 0.104222590 -0.211947366 0.488738983
 0.220000000 0.975678985 0.109104643 -0.222243252 0.487614855
 0.230000000 0.973405073 0.113975170 -0.232568157 0.486433335
 0.240000000 0.971027768 0.118833596 -0.242923555 0.485193688
 0.250000000 0.968546756 0.123679335 -0.253310941 0.483895138
 0.260000000 0.965961710 0.128511794 -0.263731836 0.482536862
 0.270000000 0.963272287 0.133330371 -0.274187781 0.481117998
 0.280000000 0.960478130 0.138134457 -0.284680347 0.479637632
 0.290000000 0.957578865 0.142923431 -0.295211129 0.478094807
 0.300000000 0.954574100 0.147696665 -0.305781753 0.476488514
 0.310000000 0.951463430 0.152453519 -0.316393872 0.474817694
 0.320000000 0.948246431 0.157193342 -0.327049173 0.473081234
 0.330000000 0.944922663 0.161915472 -0.337749375 0.471277965
 0.340000000 0.941491669 0.166619236 -0.348496232 0.469406663
 0.350000000 0.937952973 0.171303946 -0.359291533 0.467466042
 0.360000000 0.934306082 0.175968903 -0.370137107 0.465454755
 0.370000000 0.930550483 0.180613394 -0.381034822 0.463371389
 0.380000000 0.926685647 0.185236692 -0.391986587 0.461214463
 0.390000000 0.922711023 0.189838052 -0.402994357 0.458982427
 0.400000000 0.918626041 0.194416716 -0.414060131 0.456673656
 0.410000000 0.914430111 0.198971909 -0.425185956 0.454286447
 0.420000000 0.910122623 0.203502837 -0.436373932 0.451819017
 0.430000000 0.905702945 0.208008690 -0.447626208 0.449269498
 0.440000000 0.901170422 0.212488638 -0.458944990 0.446635932
 0.450000000 0.896524378 0.216941829 -0.470332542 0.443916269
 0.460000000 0.891764116 0.221367394 -0.481791189 0.441108360
 0.470000000 0.886888911 0.225764438 -0.493323318 0.438209954
 0.480000000 0.881898018 0.230132046 -0.504931382 0.435218691
 0.490000000 0.876790665 0.234469277 -0.516617904 0.432132097
 0.500000000 0.871566053 0.238775165 -0.528385481 0.428947578
 0.510000000 0.866223361 0.243048718 -0.540236785 0.425662412
 0.520000000 0.860761738 0.247288917 -0.552174568 0.422273747
 0.530000000 0.855180304 0.251494711 -0.564201664 0.418778586
 0.540000000 0.849478152 0.255665021 -0.576320997 0.415173786
 0.550000000 0.843654346 0.259798735 -0.588535581 0.411456043
 0.560000000 0.837707918 0.263894707 -0.600848528 0.407621890
 0.570000000 0.831637869 0.267951755 -0.613263048 0.403667680
 0.580000000 0.825443166 0.271968661 -0.625782459 0.399589582
